,10,20,35,50,75,100,115,130,150,175
C1-MD1rIba1-2_4_1_3MIP_Simple Segmentation-1FINAL.tiff,0.0,1.0,1.0,1.0,5.0,9.0,17.0,18.0,12.0,13.0
